Predicted, Actual, Correct?
trade, trade, 1
crude, grain, 0
ship, ship, 1
gold, gold, 1
trade, acq, 0
crude, tin, 0
trade, ipi, 0
earn, earn, 1
earn, earn, 1
acq, acq, 1
gnp, jobs, 0
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
trade, tin, 0
trade, trade, 1
trade, zinc, 0
sugar, sugar, 1
sugar, sugar, 1
acq, acq, 1
earn, earn, 1
acq, acq, 1
earn, earn, 1
trade, trade, 1
acq, acq, 1
trade, acq, 0
acq, earn, 0
trade, trade, 1
crude, cpi, 0
acq, acq, 1
sugar, sugar, 1
sugar, sugar, 1
earn, earn, 1
crude, nickel, 0
earn, earn, 1
acq, acq, 1
earn, earn, 1
earn, earn, 1
acq, acq, 1
acq, acq, 1
acq, acq, 1
trade, groundnut, 0
earn, earn, 1
ship, ship, 1
earn, earn, 1
ship, ship, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
jobs, jobs, 1
earn, earn, 1
acq, acq, 1
earn, earn, 1
acq, acq, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
sugar, sugar, 1
money-fx, money-fx, 1
sugar, sugar, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
acq, acq, 1
earn, earn, 1
acq, acq, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
sugar, sugar, 1
earn, earn, 1
sugar, sugar, 1
earn, earn, 1
earn, earn, 1
acq, acq, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
acq, acq, 1
earn, earn, 1
acq, acq, 1
crude, heat, 0
jobs, jobs, 1
money-fx, money-fx, 1
interest, interest, 1
acq, acq, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
acq, acq, 1
acq, acq, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
acq, acq, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
acq, acq, 1
money-fx, interest, 0
earn, earn, 1
earn, earn, 1
coffee, cocoa, 0
interest, interest, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
acq, earn, 0
acq, acq, 1
trade, tin, 0
earn, earn, 1
acq, acq, 1
earn, earn, 1
acq, earn, 0
acq, acq, 1
acq, acq, 1
earn, earn, 1
acq, acq, 1
earn, earn, 1
earn, earn, 1
acq, acq, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
acq, acq, 1
acq, acq, 1
earn, earn, 1
earn, earn, 1
trade, trade, 1
acq, acq, 1
earn, earn, 1
acq, acq, 1
earn, earn, 1
trade, trade, 1
earn, earn, 1
earn, earn, 1
money-fx, cocoa, 0
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
earn, earn, 1
trade, earn, 0
earn, earn, 1
trade, coffee, 0
crude, crude, 1
acq, acq, 1
earn, earn, 1
trade, rice, 0
earn, earn, 1
earn, earn, 1
acq, acq, 1
